Customer_ID,Name,City,Contact_Number,Email,Gender,Address
C088,Shalv Kulkarni,Khora ,9.19113E+11,uthkarsh12@yahoo.com,Female,"H.No. 82, Kala Road, Moradabad-953360"
C089,Oorja Dey,Nellore,9.17264E+11,shanaya87@gmail.com,Female,"91, Handa Circle
Baranagar-841504"
C090,Drishya De,Anantapuram,3327374841,kakarazad@sura.com,Female,"12, Wali Ganj
Secunderabad 891177"
C091,Adira Rajan,New Delhi,9.15525E+11,indrans79@gmail.com,Female,"H.No. 85
Bora Road
Rajpur Sonarpur-156686"
C092,Zoya Mani,Dibrugarh,9.18918E+11,obose@gmail.com,Male,"H.No. 319
Mandal Ganj, Vijayawada-709890"
C093,Mamooty Bawa,Tumkur,9.12783E+11,veer55@chaudhari.net,Male,"499
Apte Street
Gorakhpur 610533"
C094,Raghav Babu,Deoghar,9.14638E+11,shenoynirvaan@chawla.com,Female,"83/108
Goyal Chowk
Bhusawal-294899"
C095,Mahika Cherian,Warangal,2769457161,pgala@yahoo.com,Female,"765
Srinivasan Ganj
Gangtok-960690"
C096,Kavya Reddy,Medininagar,9.18681E+11,balakrishnanzaina@gmail.com,Male,"88/80
Sheth Chowk, Dewas 052601"
C097,Nakul Randhawa,Sri Ganganagar,456900126,tlall@ramanathan.info,Female,"376
Tiwari Zila, Munger-178543"
C098,Navya Golla,Cuttack,9.14461E+11,tellamadhup@bhatt-bhasin.info,Male,"910
Rastogi Circle, Tiruppur 102771"
C099,Ranbir Loyal,Dhanbad,9.13621E+11,reyanshghosh@rajagopalan.com,Female,"496
Kumer Zila
Raurkela Industrial Township-618990"
C100,Pranay Chaudhary,Phagwara,9.19479E+11,prisha77@loke.org,Female,"H.No. 58
Sem Street, Amravati 316691"
